Date,Open,High,Low,Close,Volume
2022-10-24,209.4385,211.3085,191.8607,192.7957,85067932.0
2022-10-25,188.8687,201.5846,185.6897,192.9826,73016944.0
2022-10-26,191.4867,204.2026,189.0557,197.8446,50349233.0
2022-10-27,206.8206,207.5685,198.0316,199.3406,42717088.0
2022-10-28,196.3486,197.6576,186.9987,187.7467,40832142.0
2022-10-31,188.6817,202.5196,186.0637,192.2347,49512538.0
2022-11-01,194.2916,216.7315,194.2916,212.6175,77842280.0
2022-11-02,210.9345,216.9185,205.6986,215.6095,35145104.0
2022-11-03,211.3085,215.2355,205.8856,207.0076,30634922.0
2022-11-04,209.8125,231.3174,209.8125,223.0894,67156433.0
2022-11-07,218.6015,233.3744,216.5445,229.4474,43980248.0
2022-11-08,227.5774,235.6184,227.0164,229.8214,23541345.0
2022-11-09,228.1384,232.2524,218.6015,221.4065,31658705.0
2022-11-10,214.1135,219.1625,214.1135,216.3575,23257794.0
2022-11-11,236.5533,243.8463,229.4474,241.6023,53013204.0
2022-11-14,251.7002,258.6192,240.4803,243.6593,48396603.0
2022-11-15,244.9683,269.4651,241.4153,269.2781,63102526.0
2022-11-16,267.0341,277.5061,261.7982,275.2621,61785142.0
2022-11-17,279.189,279.937,262.9202,273.0181,69820587.0
2022-11-18,280.498,283.116,267.7821,269.0911,44759245.0
2022-11-21,263.8552,267.9691,256.7492,264.7901,31308860.0
2022-11-22,261.9852,267.7821,256.7492,259.3672,28461436.0
2022-11-23,259.7412,266.2861,259.3672,263.6682,23380469.0
2022-11-24,267.7821,270.5871,260.8632,262.1722,17174522.0
2022-11-25,258.9932,259.7412,250.9522,255.2532,31317632.0
2022-11-28,242.1633,253.7572,242.1633,252.4482,33498674.0
2022-11-29,258.4322,267.4081,256.0012,267.2211,33140777.0
2022-11-30,265.1641,273.5791,261.7982,268.5301,46633723.0
2022-12-01,278.6281,284.051,273.5791,275.2621,45550089.0
2022-12-02,276.7581,280.124,272.6441,276.7581,25087186.0
2022-12-05,289.848,296.3929,282.742,293.5879,59827141.0
2022-12-06,287.791,293.4009,287.23,291.531,29059056.0
2022-12-07,289.661,297.8889,279.563,280.685,41107551.0
2022-12-08,284.425,297.3279,284.425,296.7669,34092432.0
2022-12-09,298.0759,305.3689,293.9619,304.4339,40400176.0
2022-12-12,297.7019,303.6859,294.8969,296.9539,20509991.0
2022-12-13,295.4579,303.8729,295.0839,297.7019,20313254.0
2022-12-14,301.2549,306.4909,297.7019,303.8729,24238494.0
2022-12-15,303.8729,305.3689,295.4579,296.9539,18962052.0
2022-12-16,293.5879,300.5069,291.344,296.2059,25128603.0
2022-12-19,299.5719,307.4258,296.2059,299.5719,24897178.0
2022-12-20,298.0759,298.0759,286.482,289.287,29056421.0
2022-12-21,290.783,292.84,287.978,290.783,15323874.0
2022-12-22,298.2629,304.6209,295.8319,302.7509,24251750.0
2022-12-23,297.3279,304.8079,296.5799,299.3849,15502697.0
2022-12-28,303.8729,308.1738,300.8809,304.9949,24188394.0
2022-12-29,302.0029,314.1578,302.0029,313.4098,30087456.0
2022-12-30,316.9628,321.4508,309.8568,312.2878,27211337.0
